| №   | Дата/время    | Температура | Осадки (мм)  |
|-----|---------------|-------------|--------------|
| 1   | 05-17 00:00   | 16.6        | 0.00         |
| 2   | 05-17 01:00   | 15.8        | 0.00         |
| 3   | 05-17 02:00   | 15.3        | 0.00         |
| 4   | 05-17 03:00   | 14.9        | 0.00         |
| 5   | 05-17 04:00   | 14.6        | 0.00         |
| 6   | 05-17 05:00   | 15.3        | 0.00         |
| 7   | 05-17 06:00   | 17.2        | 0.00         |
| 8   | 05-17 07:00   | 20.4        | 0.00         |
| 9   | 05-17 08:00   | 21.9        | 0.00         |
| 10  | 05-17 09:00   | 22.9        | 0.00         |
| 11  | 05-17 10:00   | 24.0        | 0.00         |
| 12  | 05-17 11:00   | 25.3        | 0.00         |
| 13  | 05-17 12:00   | 26.7        | 0.00         |
| 14  | 05-17 13:00   | 25.7        | 0.00         |
| 15  | 05-17 14:00   | 26.5        | 0.00         |
| 16  | 05-17 15:00   | 26.5        | 0.00         |
| 17  | 05-17 16:00   | 26.9        | 0.00         |
| 18  | 05-17 17:00   | 27.0        | 0.00         |
| 19  | 05-17 18:00   | 26.4        | 0.00         |
| 20  | 05-17 19:00   | 25.3        | 0.00         |
| 21  | 05-17 20:00   | 21.5        | 0.00         |
| 22  | 05-17 21:00   | 19.2        | 0.00         |
| 23  | 05-17 22:00   | 18.5        | 0.00         |
| 24  | 05-17 23:00   | 17.8        | 0.00         |
