№    Date/time    Temperature    Rain (mm)
1    2026-06-06T00:00    10.2    0.0
2    2026-06-06T01:00    9.7    0.0
3    2026-06-06T02:00    9.3    0.0
4    2026-06-06T03:00    8.9    0.0
5    2026-06-06T04:00    8.8    0.0
6    2026-06-06T05:00    10.0    0.0
7    2026-06-06T06:00    12.7    0.0
8    2026-06-06T07:00    14.0    0.0
9    2026-06-06T08:00    15.9    0.0
10    2026-06-06T09:00    17.3    0.0
11    2026-06-06T10:00    18.1    0.0
12    2026-06-06T11:00    18.7    0.0
13    2026-06-06T12:00    19.5    0.0
14    2026-06-06T13:00    20.0    0.0
15    2026-06-06T14:00    20.4    0.0
16    2026-06-06T15:00    20.5    0.0
17    2026-06-06T16:00    20.4    0.0
18    2026-06-06T17:00    20.2    0.0
19    2026-06-06T18:00    19.8    0.0
20    2026-06-06T19:00    18.5    0.0
21    2026-06-06T20:00    16.8    0.0
22    2026-06-06T21:00    14.6    0.0
23    2026-06-06T22:00    13.0    0.0
24    2026-06-06T23:00    11.7    0.0
